House_ID,City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Carpet_Area_sqft,Floor_No,Total_Floors,Property_Age_years,Parking,Furnishing,Lift,Gated_Society,Distance_to_Metro_km,Distance_to_CityCenter_km,Nearby_School_km,Nearby_Hospital_km,Crime_Rate_Index,Market_Price_INR,Price_per_sqft_INR
1,Hyderabad,Mid,3,4,957.3,809.1,11,15,8,1,Semi-Furnished,1,0,2.44,20.76,1.77,3.52,32.4,7736451,8082
2,Bangalore,Budget,2,3,883.3,711.7,13,16,13,1,Semi-Furnished,1,0,0.48,17.56,2.82,4.86,66.3,5771877,6534
3,Pune,Premium,3,4,1331.5,1087.1,13,15,7,1,Unfurnished,1,1,2.76,9.73,0.2,1.75,23.3,14688106,11031
4,Mumbai,Premium,3,4,997.6,801,7,19,10,1,Semi-Furnished,1,1,1.12,13.15,0.27,0.61,18.8,19094254,19140
5,Pune,Mid,2,2,967.6,707.6,5,16,6,1,Unfurnished,1,1,2.46,14.07,3.34,3.93,41,7592420,7847
6,Bangalore,Mid,1,1,484.2,402.7,2,13,6,0,Unfurnished,1,0,0.2,12.77,2.39,4.18,24.7,3857625,7967
7,Bangalore,Premium,4,4,1592,1172.4,2,18,5,1,Semi-Furnished,1,1,2.21,13.01,3.56,0.54,21.6,21116617,13264
8,Bangalore,Mid,2,2,741.2,553.2,12,20,13,1,Semi-Furnished,1,0,2.04,1.21,1.82,2.42,35.9,6905065,9316
9,Hyderabad,Budget,1,1,439.5,344.7,10,14,11,1,Unfurnished,1,1,5.76,15.65,2.81,5.17,46,2125440,4836
10,Pune,Mid,2,2,948.2,624.8,6,8,0,0,Fully-Furnished,1,0,4.11,15.71,3.06,2.42,53.1,7015036,7398
11,Hyderabad,Mid,4,3,2036.8,1662.5,10,13,17,0,Semi-Furnished,1,1,1.49,11.63,2.6,3.47,56.1,13850167,6800
12,Bangalore,Premium,3,3,1067.2,736.3,3,16,11,1,Fully-Furnished,1,1,0.84,5.09,3,2.95,41.4,12880040,12069
13,Nagpur,Premium,3,3,1087.3,737.3,0,11,17,0,Fully-Furnished,1,1,6.41,9.89,0.93,1.28,6.5,7782278,7157
14,Bangalore,Budget,2,2,805.3,628.4,9,9,1,1,Fully-Furnished,1,0,0.2,37.43,3.36,4.48,72.3,4517344,5610
15,Mumbai,Budget,1,1,541.2,364.3,12,17,11,1,Unfurnished,1,0,1.61,22.11,3.8,2.99,58.2,5110749,9443
16,Mumbai,Premium,3,3,1135.5,823,1,19,1,1,Unfurnished,1,0,2.41,13.56,0.47,1.54,30.6,22531296,19843
17,Hyderabad,Premium,3,3,1470.7,1092.1,9,13,8,1,Unfurnished,1,1,3.23,0.5,1.41,2.11,17.5,13853141,9419
18,Nagpur,Budget,2,3,947.4,776.6,8,12,15,0,Semi-Furnished,1,1,5.56,12.93,3.57,5.64,62.5,3961126,4181
19,Mumbai,Budget,1,1,515.8,396.5,21,21,4,1,Semi-Furnished,1,1,3.81,16.09,4.53,0.79,58,6201704,12023
20,Hyderabad,Mid,2,2,963.8,649.1,17,21,10,1,Unfurnished,1,0,1.97,15.4,3.12,1.79,40.5,6146889,6378
21,Mumbai,Budget,2,2,1060,806.2,5,14,15,1,Fully-Furnished,0,0,6.16,23.32,3.55,1.2,71,12618743,11904
22,Mumbai,Mid,3,2,1009.8,745.7,16,20,11,0,Fully-Furnished,1,0,2.42,11.17,3.64,3.19,49.6,16861152,16698
23,Mumbai,Premium,2,2,988.6,822.7,20,21,5,1,Unfurnished,1,0,0.2,0.5,2.7,1.8,30,20218936,20452
24,Hyderabad,Premium,2,3,909.9,746.4,0,11,3,1,Fully-Furnished,1,1,2.29,0.5,0.55,2.86,26.7,10038793,11033
25,Mumbai,Premium,2,2,829.3,669.1,15,17,8,0,Fully-Furnished,1,1,3.73,6.01,2.26,2.02,31.5,16372316,19742
26,Mumbai,Premium,2,3,808.7,624.5,10,18,8,1,Semi-Furnished,1,1,0.91,5.25,4.12,3.75,18.4,16735265,20694
27,Hyderabad,Mid,3,4,1199.1,911.1,4,8,24,1,Fully-Furnished,1,0,1.16,13.66,1.86,3.6,33.5,9300472,7756
28,Mumbai,Premium,4,4,1641.6,1176.7,10,16,12,1,Fully-Furnished,1,0,3.29,16.18,0.94,0.3,5,35094523,21378
29,Nagpur,Budget,2,2,731.4,532.2,3,10,15,0,Fully-Furnished,1,1,2.06,29.77,2.73,5.87,53.1,2189924,2994
30,Pune,Premium,4,4,2019.2,1373.3,0,9,3,1,Semi-Furnished,1,1,0.2,14.89,0.86,0.3,19.7,22281565,11035
31,Bangalore,Mid,3,3,1098.7,832.7,20,21,11,0,Fully-Furnished,1,1,0.2,9.48,1.31,1.76,41.3,11808338,10748
32,Bangalore,Premium,2,3,882.8,737.5,18,21,7,1,Fully-Furnished,1,1,0.2,9.14,3.4,3.95,25.5,12103819,13711
33,Hyderabad,Budget,2,2,977.2,778.3,5,8,11,0,Semi-Furnished,0,1,0.2,10.09,3.29,3.27,63.1,5565848,5696
34,Nagpur,Mid,3,4,1155.9,936.7,7,13,13,1,Unfurnished,1,1,1.15,15.41,3.34,1.87,29.2,7003439,6059
35,Mumbai,Premium,3,3,1254.8,944.8,8,15,3,0,Fully-Furnished,1,1,6.6,17.67,1.31,0.3,24.9,23359942,18616
36,Nagpur,Premium,1,2,451.4,366.3,0,20,7,1,Fully-Furnished,1,1,0.54,0.5,2,1.65,46.5,3451244,7646
37,Pune,Premium,2,2,806.1,626.3,9,20,4,1,Fully-Furnished,1,1,0.2,0.5,2.38,1.47,5,9972567,12371
38,Bangalore,Mid,2,3,937.7,773.5,8,20,11,0,Semi-Furnished,1,1,0.46,21.51,2.28,2.33,49.9,7579988,8084
39,Bangalore,Budget,2,2,1002.8,844.3,4,14,4,1,Unfurnished,1,0,0.2,18.53,3.73,5.47,45.2,6735930,6717
40,Pune,Mid,2,2,975.8,802.6,0,14,7,1,Semi-Furnished,1,1,1.31,7.87,4.15,0.3,27,8996392,9220
41,Mumbai,Mid,4,4,1471.6,1166,11,18,7,0,Unfurnished,1,1,0.2,4.28,4,4.66,31.8,25341849,17221
42,Mumbai,Budget,2,3,859.9,706,0,18,8,0,Unfurnished,1,0,3.21,14.47,4.57,4.62,67.5,9757311,11347
43,Pune,Premium,1,1,555.5,379.5,7,8,16,1,Unfurnished,1,1,0.2,9.22,2.28,2.28,15,5071065,9129
44,Mumbai,Budget,2,2,926.9,765.7,12,17,4,1,Unfurnished,1,0,0.2,22.35,3.65,5.39,65.6,11473329,12378
45,Mumbai,Mid,2,2,941,748.2,6,23,1,1,Semi-Furnished,1,1,0.49,15.52,2.05,3.44,38,15146437,16096
46,Mumbai,Budget,1,2,473.3,352.1,7,9,10,1,Semi-Furnished,1,0,4.62,22.38,2.45,3.47,47.5,5390974,11390
47,Mumbai,Premium,4,4,2088.6,1515.2,26,27,7,1,Semi-Furnished,1,1,0.78,13.81,1.21,3.47,28.3,39763829,19039
48,Mumbai,Premium,3,2,1350,943.3,10,11,6,0,Unfurnished,1,1,0.33,5.56,1.74,2.59,17.9,28709254,21266
49,Bangalore,Mid,1,1,535.4,429.9,14,18,14,0,Unfurnished,0,1,0.64,21.47,0.2,0.61,33.7,3859730,7209
50,Mumbai,Mid,1,2,505.4,402.8,18,20,1,1,Unfurnished,1,0,5.62,10.27,2.53,1.21,42.7,7949556,15729
51,Mumbai,Mid,2,2,1006.6,825.7,13,25,16,1,Fully-Furnished,1,0,1.17,10.57,5.06,2.76,46.1,15363859,15263
52,Mumbai,Premium,5,6,2634.9,1798.9,11,21,1,1,Fully-Furnished,1,1,2.48,13.32,3.24,2.61,24.4,48673156,18472
53,Nagpur,Budget,2,1,948.8,791.4,2,4,18,0,Semi-Furnished,0,0,4.26,29.7,2.6,3.85,54.6,2645263,2788
54,Pune,Premium,3,3,1207.6,937.6,0,15,10,1,Fully-Furnished,1,1,2.39,0.5,2.36,0.3,30.3,14360260,11892
55,Hyderabad,Premium,3,3,1204.6,942,6,18,17,1,Fully-Furnished,1,1,1.76,8.73,2.79,2.12,20.7,11735069,9742
56,Pune,Premium,1,2,525.3,411.1,16,16,1,1,Unfurnished,1,0,1.6,1.87,1.47,1.73,34.2,5952009,11331
57,Nagpur,Premium,3,2,1195.3,922.8,3,10,12,0,Unfurnished,1,1,4,4.83,2.98,1.42,36.1,8752098,7322
58,Pune,Mid,2,2,817.7,571.4,7,11,11,0,Semi-Furnished,0,0,6.39,14.66,1.15,5.06,43.5,5997036,7334
59,Mumbai,Mid,2,3,850.7,699.4,5,15,2,0,Semi-Furnished,1,1,1.04,7.31,0.89,1.72,44.3,13340299,15682
60,Bangalore,Budget,3,3,1227.3,991.8,0,18,11,0,Unfurnished,1,0,0.31,18.34,3.81,5.11,56.8,9519964,7757
